transaction_id,account_number,amount,currency,transaction_type,status,transaction_date,description
TXN-10008,ACC-069,-433.91,EUR,DEBIT,COMPLETED,2025-01-14T10:18:00,Utility bill
TXN-10009,ACC-023,2661.35,EUR,CREDIT,COMPLETED,2025-01-14T12:09:00,Refund
TXN-10010,ACC-050,4307.89,EUR,CREDIT,COMPLETED,2025-01-14T12:17:00,Gift
TXN-10011,ACC-056,-383.06,EUR,DEBIT,COMPLETED,2025-01-14T12:36:00,Gym membership
TXN-10012,ACC-065,-238.34,EUR,DEBIT,COMPLETED,2025-01-14T13:14:00,Grocery store
TXN-10013,ACC-094,2057.69,EUR,CREDIT,COMPLETED,2025-01-14T13:47:00,Salary payment
TXN-10014,ACC-046,3053.17,EUR,CREDIT,COMPLETED,2025-01-14T15:15:00,Bonus
TXN-10015,ACC-087,-163.96,EUR,DEBIT,COMPLETED,2025-01-14T16:17:00,Restaurant
TXN-10016,ACC-080,1191.23,EUR,CREDIT,COMPLETED,2025-01-14T18:09:00,Dividend
TXN-10017,ACC-080,-147.14,EUR,DEBIT,COMPLETED,2025-01-14T18:20:00,Restaurant
TXN-10018,ACC-089,-248.82,EUR,DEBIT,COMPLETED,2025-01-14T19:10:00,Restaurant
TXN-10019,ACC-062,2535.5,EUR,CREDIT,COMPLETED,2025-01-14T19:55:00,Freelance income
TXN-10020,ACC-001,-199.28,EUR,DEBIT,COMPLETED,2025-01-14T20:19:00,Rent
TXN-10021,ACC-071,-497.94,EUR,DEBIT,PENDING,2025-01-14T21:13:00,Gas station
TXN-10022,ACC-051,-116.62,EUR,DEBIT,COMPLETED,2025-01-14T22:52:00,Streaming subscription
TXN-10023,ACC-066,677.55,EUR,CREDIT,COMPLETED,2025-01-14T23:11:00,Dividend
TXN-10024,ACC-070,-309.19,EUR,DEBIT,COMPLETED,2025-01-15T01:01:00,Streaming subscription
TXN-10025,ACC-055,-180.85,EUR,DEBIT,COMPLETED,2025-01-15T02:51:00,Rent
TXN-10026,ACC-093,2813.92,EUR,CREDIT,COMPLETED,2025-01-15T04:00:00,Freelance income
TXN-10027,ACC-065,-66.34,USD,DEBIT,COMPLETED,2025-01-15T05:42:00,Gym membership
TXN-10028,ACC-099,-321.35,EUR,DEBIT,COMPLETED,2025-01-15T05:54:00,Online purchase
TXN-10029,ACC-045,2027.95,EUR,CREDIT,COMPLETED,2025-01-15T06:06:00,Refund
TXN-10030,ACC-045,-363.28,EUR,DEBIT,COMPLETED,2025-01-15T06:30:00,Gas station
TXN-10031,ACC-026,-54.34,EUR,DEBIT,PENDING,2025-01-15T07:51:00,Grocery store
TXN-10032,ACC-094,1608.43,EUR,CREDIT,COMPLETED,2025-01-15T08:33:00,Gift
TXN-10018,ACC-089,-248.82,EUR,DEBIT,COMPLETED,2025-01-14T19:10:00,Restaurant
TXN-10034,ACC-036,-118.09,EUR,DEBIT,PENDING,2025-01-15T10:58:00,Gas station
TXN-10035,ACC-026,-9.07,USD,DEBIT,COMPLETED,2025-01-15T12:34:00,Online purchase
TXN-10036,ACC-077,2769.53,EUR,CREDIT,COMPLETED,2025-01-15T13:28:00,Dividend
TXN-10037,ACC-001,1887.98,EUR,CREDIT,COMPLETED,2025-01-15T14:29:00,Refund
TXN-10038,ACC-027,1040.89,EUR,CREDIT,COMPLETED,2025-01-15T15:51:00,Bonus
